epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2561,1.73309,3.74519,2.08658,0.00202,0.6,0.00666,0.00099,2.51682,3.81882,3.08458,0.0981,0.0001,0.0001
2,13.7441,1.80376,3.78641,2.12089,0.00182,0.55,0.01312,0.00168,2.58198,3.83406,3.1609,0.0952499,0.000249939,0.000249939
3,15.2187,1.83967,3.78868,2.2,0.00201,0.6,0.01423,0.00217,2.44212,3.83729,3.0215,0.0923996,0.000399609,0.000399609
4,16.7116,1.89337,3.90532,2.17094,0.00273,0.8,0.01548,0.00352,1.77759,3.69674,2.32952,0.0895488,0.000548792,0.000548792
5,18.2123,1.27336,3.58041,1.62769,0.00279,0.8,0.03664,0.01381,1.20542,3.50164,1.71136,0.0866973,0.000697268,0.000697268
6,19.6932,1.10207,3.44226,1.41827,0.00302,0.9,0.18296,0.11281,0.9542,3.19728,1.34433,0.0838448,0.00084482,0.00084482
7,21.2194,0.90512,3.27588,1.2648,0.0034,1,0.39474,0.24513,1.01399,3.0728,1.29641,0.0809912,0.000991232,0.000991232
8,22.7142,0.92271,3.17758,1.25675,0.00342,1,0.44242,0.30412,0.88226,3.00535,1.18821,0.0781363,0.00113629,0.00113629
9,24.2653,1.01515,3.16129,1.27854,0.0034,1,0.59695,0.44452,0.80553,2.93826,1.1155,0.0752798,0.00127978,0.00127978
10,25.758,0.90484,2.93358,1.17898,0.00344,1,0.63888,0.47565,0.85803,2.90308,1.15969,0.0724215,0.0014215,0.0014215
11,27.2682,0.88875,2.75914,1.16677,0.00353,1,0.65617,0.49023,0.82933,2.87244,1.12381,0.0695612,0.00156124,0.00156124
12,28.8033,0.99104,2.82752,1.27982,0.00344,1,0.62492,0.45571,0.89225,2.89142,1.19417,0.0666988,0.00169879,0.00169879
13,30.3255,0.82494,2.58651,1.16862,0.00343,1,0.63469,0.46321,0.92118,2.75978,1.16927,0.063834,0.00183395,0.00183395
14,31.8535,0.89402,2.48595,1.14929,0.00338,1,0.61957,0.47774,0.6734,2.67984,1.03988,0.0609665,0.00196654,0.00196654
15,33.3843,0.94211,2.27304,1.18355,0.00335,1,0.66603,0.51337,0.805,2.64911,1.12445,0.0580964,0.00209636,0.00209636
16,34.9366,0.93926,2.20709,1.18881,0.00335,1,0.62658,0.48968,0.67968,2.6088,1.04942,0.0552232,0.00222321,0.00222321
17,36.4902,0.81636,2.01925,1.15892,0.00334,1,0.71692,0.53475,0.70522,2.60615,1.04164,0.0523469,0.00234693,0.00234693
18,37.9779,0.90668,1.8672,1.12303,0.00335,1,0.89234,0.69519,0.75896,2.48657,1.08283,0.0494673,0.00246733,0.00246733
19,39.442,0.90986,1.75148,1.12281,0.72036,0.69811,0.79365,0.63342,0.79316,2.49903,1.09541,0.0465842,0.00258424,0.00258424
20,40.9227,0.82517,1.59891,1.08969,0.81815,0.73403,0.90018,0.72617,0.77847,2.39602,1.10305,0.0436975,0.00269749,0.00269749
21,42.4336,0.82838,1.56708,1.13499,1,0.70854,0.97278,0.8008,0.78235,2.23896,1.14476,0.0408069,0.00280694,0.00280694
22,43.887,0.83694,1.39564,1.10336,0.98539,0.87413,0.97833,0.79229,0.77255,2.09673,1.0902,0.0379124,0.00291241,0.00291241
23,45.352,0.91109,1.41499,1.08031,0.93678,0.85488,0.97667,0.75527,0.86076,2.02399,1.16508,0.0350138,0.00301377,0.00301377
24,46.793,0.88356,1.36199,1.12157,0.93674,0.86256,0.95526,0.72715,0.89287,1.96315,1.31217,0.0321109,0.00311088,0.00311088
25,48.2296,0.83085,1.23644,1.07126,0.9151,0.85,0.95071,0.77356,0.74131,1.92505,1.10064,0.0292036,0.00320361,0.00320361
26,49.6616,0.88266,1.28959,1.11435,1,0.76444,0.89857,0.68024,0.94744,2.10942,1.21158,0.0262918,0.00329182,0.00329182
27,51.1179,0.85425,1.26183,1.1003,0.99223,0.83875,0.9345,0.74492,0.82985,1.97781,1.15374,0.0233754,0.0033754,0.0033754
28,52.6227,0.77088,1.19401,1.0618,0.86981,0.61187,0.90375,0.66685,0.87691,2.14035,1.16187,0.0204542,0.00345425,0.00345425
29,54.0877,0.8627,1.24706,1.07035,0.95626,0.77113,0.92693,0.63979,0.99201,2.04208,1.28758,0.0175283,0.00352826,0.00352826
30,55.5835,0.77539,1.02273,1.04484,0.83819,0.80434,0.9222,0.71215,0.86623,1.73239,1.18179,0.0145973,0.00359733,0.00359733
31,57.0472,0.78668,1.21596,1.04751,0.82992,0.79772,0.93402,0.69405,0.86914,1.72517,1.14037,0.0116614,0.00366139,0.00366139
32,58.4941,0.72937,1.02644,1.02047,0.76588,0.5946,0.76219,0.55054,0.8998,2.02936,1.24224,0.00872035,0.00372035,0.00372035
33,59.9236,0.8081,1.13961,1.05282,0.99651,0.58216,0.93548,0.72216,0.90642,1.79371,1.20894,0.00577415,0.00377415,0.00377415
34,61.4997,0.89724,1.15828,1.07887,0.61551,0.65,0.79209,0.5543,1.00479,1.94038,1.32863,0.00378488,0.00378488,0.00378488
35,62.9585,0.77231,1.10374,1.0435,0.73289,0.6657,0.85123,0.64808,0.92022,1.97161,1.26535,0.00371734,0.00371734,0.00371734
36,64.4472,0.75638,1.00261,1.07109,0.71667,0.5,0.75011,0.5474,0.91104,2.02435,1.23683,0.00364863,0.00364863,0.00364863
37,65.9494,0.81578,1.13791,1.09175,0.7393,0.68098,0.83747,0.60223,0.90921,1.73451,1.28342,0.0035788,0.0035788,0.0035788
38,67.4932,0.80413,1.10096,1.06663,0.88638,0.86687,0.97162,0.75612,0.8646,1.25856,1.22902,0.00350794,0.00350794,0.00350794
39,68.9926,0.77171,0.9933,1.0767,0.94822,0.84402,0.96924,0.73509,0.91361,1.11122,1.25191,0.00343611,0.00343611,0.00343611
40,70.4987,0.76568,1.04355,1.05744,0.69933,0.86682,0.86738,0.66837,0.89077,1.45717,1.25451,0.00336338,0.00336338,0.00336338
41,71.9491,0.70234,0.9729,0.98886,0.79955,0.74162,0.82146,0.64482,0.84747,1.5108,1.21862,0.00328982,0.00328982,0.00328982
42,73.4206,0.77147,1.00603,1.05799,0.71185,0.74668,0.72406,0.57495,0.85929,1.7902,1.22555,0.0032155,0.0032155,0.0032155
43,74.8403,0.75746,1.06029,1.03606,0.72015,0.63592,0.55756,0.42463,0.84888,2.15057,1.26075,0.00314051,0.00314051,0.00314051
44,76.3116,0.8357,1.0104,1.09069,0.79053,0.89155,0.91008,0.6946,0.85297,1.24681,1.28261,0.0030649,0.0030649,0.0030649
45,77.7187,0.76657,1.01757,1.03647,0.84508,0.83384,0.91519,0.72254,0.86195,1.17323,1.27874,0.00298877,0.00298877,0.00298877
46,79.2396,0.72851,0.91267,1.01901,0.84691,0.8966,0.9217,0.67713,0.95837,1.29169,1.33725,0.00291218,0.00291218,0.00291218
47,80.6728,0.78278,0.91359,1.03111,0.73256,0.8338,0.82756,0.60285,1.03365,1.46829,1.29829,0.0028352,0.0028352,0.0028352
48,82.1349,0.69164,0.90472,1.02534,0.70625,0.64619,0.64777,0.5075,0.8848,2.02613,1.18285,0.00275792,0.00275792,0.00275792
49,83.5704,0.75611,0.91069,1.03316,0.69695,0.6,0.55715,0.43997,0.82298,2.14035,1.17348,0.00268041,0.00268041,0.00268041
50,85.0358,0.68574,0.8561,1.00934,0.86094,0.85,0.89141,0.71374,0.80308,1.09035,1.18061,0.00260274,0.00260274,0.00260274
51,86.477,0.66956,0.87161,1.02729,0.81313,0.95,0.90027,0.73899,0.76029,1.02053,1.07192,0.002525,0.002525,0.002525
52,87.9636,0.72662,0.90192,1.02408,0.56752,0.69768,0.67113,0.52382,0.84066,1.76363,1.19068,0.00244726,0.00244726,0.00244726
53,89.4527,0.70892,0.9458,1.00537,0.87266,0.9,0.87388,0.71197,0.78485,1.13773,1.12372,0.00236959,0.00236959,0.00236959
54,90.9087,0.66976,0.908,0.99957,0.88731,0.93175,0.8974,0.74174,0.77706,1.04711,1.13741,0.00229208,0.00229208,0.00229208
55,92.3491,0.68231,0.88126,1.01587,0.88966,0.92593,0.92682,0.7515,0.71694,0.94618,1.07256,0.0022148,0.0022148,0.0022148
56,93.8952,0.69054,0.87173,1.03568,0.92412,0.95,0.93311,0.74233,0.8023,0.85772,1.1069,0.00213782,0.00213782,0.00213782
57,95.3511,0.68577,0.82736,0.98704,0.93694,0.9,0.94212,0.77035,0.72886,0.83012,1.06226,0.00206123,0.00206123,0.00206123
58,96.852,0.67008,0.87451,0.99359,0.95057,0.94961,0.92682,0.76312,0.68462,0.8432,1.00683,0.0019851,0.0019851,0.0019851
59,98.3105,0.64259,0.8246,1.00143,0.91871,0.94537,0.93805,0.77694,0.66551,0.79714,1.00304,0.00190949,0.00190949,0.00190949
